Naam,Bedrijfsnummer,BTW-nummer,E-mail,E-mail geverifieerd,Telefoonnummer,Telefoon geverifieerd,Website,Website domain,Beschrijving,Activiteiten,NACE-codes,Provincie,Adres,Geschat aantal werknemers,Geschatte omzet,Bizzy URL
STRABAG BELGIUM,0472.028.526,BE0472.028.526,,,+32 9 224 29 50,Geverifieerd,www.strabag.be,strabag,"Strabag is een toonaangevend Belgisch bouwbedrijf met meer dan 50 jaar ervaring, gespecialiseerd in innovatieve en complexe bouwprojecten. Ze bieden een breed scala aan diensten aan, waaronder gebouwconstructie, civiele techniek, industriële bouw, renovatie, restauratiewerkzaamheden, woningbouw en milieuprojecten.",Bouw,41203 - 41203,Antwerpen,"Noorderlaan 139, 2030 Antwerpen",200 - 500,€50M - €100M,app.bizzy.org/BE/0472028.526?utm_source=export&utm_medium=lists_xlsx
Cegelec Industry,0539.891.310,BE0539.891.310,,,+32 71 37 06 15,Geverifieerd,www.cegelec.be,cegelec,"Cegelec Belgium is gespecialiseerd in het leveren van technische installaties in gebouwen, infrastructuurprojecten en innovatieve brandoplossingen, waaronder branddetectie- en blussystemen.",Elektrische installatiewerkzaamheden,25300 - 27120 - 33200 - 43212 - 43221 - 62090,Brussel,"Avenue du Bourget 44, 1130 Haren",200 - 500,€50M - €100M,app.bizzy.org/BE/0539891.310?utm_source=export&utm_medium=lists_xlsx
STUDIEBUREAU VOOR BOUWKUNDE EN EXPERTISES,0418.373.470,BE0418.373.470,,,+32 902 51 419,Geverifieerd,www.sbe-engineering.com,sbe-engineering,,Bouw van infrastructuur - Bouwarchitecten - Engineering - Stadsarchitecten - Waterbouw,71121 - 71121,Oost-Vlaanderen,"Slachthuisstraat 71, 9100 Sint-Niklaas",100 - 200,€10M - €50M,app.bizzy.org/BE/0418373.470?utm_source=export&utm_medium=lists_xlsx
Benvitec,0449.252.035,BE0449.252.035,,,+32 3 744 01 74,Geverifieerd,www.benvitec.be,benvitec,"Benvitec is een bedrijf dat gespecialiseerd is in het bieden van oplossingen voor technische vraagstukken in de industriële sector, met expertise op gebieden zoals brandbeveiliging, kunststofverwerking en luchtzuivering. Ze bieden een scala aan diensten aan, waaronder ontwerp, installatie en onderhoud, met als doel de wereld en de samenleving een beetje beter te maken door middel van hun werk.",Bouw van infrastructuur,25110 - 25300 - 42220,Limburg,"Koolmijnlaan 185, 3582 Koersel",100 - 200,€10M - €50M,app.bizzy.org/BE/0449252.035?utm_source=export&utm_medium=lists_xlsx
Cegelec Fire Solutions,0844.082.716,BE0844.082.716,,,+32 53 84 14 41,Geverifieerd,www.cegelec.be,cegelec,"Cegelec Fire Solutions is gespecialiseerd in het leveren van technische installaties in gebouwen, infrastructuurprojecten en innovatieve brandoplossingen, waaronder branddetectie- en blussystemen.",Elektrische installatiewerkzaamheden,43211 - 71121,Brussel,"Avenue du Bourget 44, 1130 Haren",50 - 100,€10M - €50M,app.bizzy.org/BE/0844082.716?utm_source=export&utm_medium=lists_xlsx
IVECA TECHNICS,0405.265.208,BE0405.265.208,,,+32 50 68 89 41,Geverifieerd,www.benvitec.be,benvitec,"BENVITEC is een bedrijf dat gespecialiseerd is in het bieden van oplossingen voor technische vraagstukken in de industriële sector, met expertise op gebieden zoals brandbeveiliging, kunststofverwerking en luchtzuivering. Ze bieden een scala aan diensten aan, waaronder ontwerp, installatie en onderhoud, met als doel de wereld en de samenleving een beetje beter te maken door middel van hun werk.",Bouw - Elektrische installatiewerkzaamheden,33150 - 42220 - 43211 - 43211 - 43341,Oost-Vlaanderen,"Watermolenstraat 5, 9700 Oudenaarde",50 - 100,€10M - €50M,app.bizzy.org/BE/0405265.208?utm_source=export&utm_medium=lists_xlsx
DENYS SUPPORT,0508.751.736,BE0508.751.736,,,+32 9 226 77 71,Geverifieerd,www.denys.com,denys,"DENYS SUPPORT is gespecialiseerd in complexe bouwprojecten en infrastructuurwerken in verschillende sectoren, waaronder water, energie en mobiliteit, en biedt op maat gemaakte oplossingen via een multidisciplinaire aanpak. Het bedrijf zet zich in voor innovatie en duurzaamheid in zijn bouw- en restauratie-inspanningen.",Bouw,41101 - 41102 - 41102 - 43120 - 71121,Oost-Vlaanderen,"Industrieweg 124, 9032 Wondelgem",10 - 20,€5M - €10M,app.bizzy.org/BE/0508751.736?utm_source=export&utm_medium=lists_xlsx
CECOM CENTRE,0446.320.061,BE0446.320.061,,,+33 1 34 65 89 89,Geverifieerd,www.eiffageconstruction.com,eiffageconstruction,"Eiffage Construction is een dochteronderneming van de Eiffage-groep, die zich richt op bouw, stedelijke ontwikkeling, vastgoed en onderhoud, met een sterke focus op innovatie en duurzame praktijken. Het bedrijf zet zich in voor ecologische transitie en het creëren van op maat gemaakte oplossingen voor zijn projecten.",Bouw van infrastructuur - Bouw van kantoorgebouwen - Stadsarchitecten - Woningbouw,70100 - 70100,Brussel,"Brugmannlaan 27, 1060 Saint-Gilles",1 - 10,€1M - €2M,app.bizzy.org/BE/0446320.061?utm_source=export&utm_medium=lists_xlsx
Remo - Milieubeheer,0401.342.151,BE0401.342.151,info.mbs@machiels.com,Geverifieerd,,,www.machielsbuildingsolutions.be/,machielsbuildingsolutions,"Remo ontwerpt en bouwt hoogwaardige, innovatieve en duurzame totaaloplossingen in houtskeletbouw in grote volumes. Ze bieden engineering, productie, installatie en sleutel-op-de-deur oplossingen voor houtskeletprojecten.",Bouwarchitecten - Vervaardiging van bouwproducten - Woningbouw,38222 - 38222,Limburg,"Ekkelgaarden 16, 3500 Hasselt",1 - 10,€0 - €1M,app.bizzy.org/BE/0401342.151?utm_source=export&utm_medium=lists_xlsx
VERELST ONTWIKKELINGSGROEP,0655.703.568,BE0655.703.568,,,+32 15 75 37 35,Geverifieerd,www.verelst.be,verelst,"VERELST ONTWIKKELINGSGROEP biedt gepersonaliseerde bouw- en renovatiediensten aan voor zowel particuliere als zakelijke klanten, waarbij een optimale prijs-kwaliteitverhouding en succesvolle projectresultaten worden gegarandeerd. Ze zijn gespecialiseerd in commerciële en projectmatige bouw, waarbij kwalitatieve oplossingen worden geboden binnen budget- en tijdsbeperkingen.",Vastgoedontwikkeling,41101 - 64200 - 70220,Antwerpen,"Mechelsesteenweg 35, 2840 Rumst",1 - 10,€0 - €1M,app.bizzy.org/BE/0655703.568?utm_source=export&utm_medium=lists_xlsx
SAINT-GOBAIN BENELUX,0434.284.638,BE0434.284.638,,,+1 888 922 7842,Geverifieerd,www.saint-gobain.com,saint-gobain,"Saint-Gobain ontwerpt, produceert en distribueert innovatieve materialen en oplossingen die het welzijn en de duurzaamheid in de bouw, transport en industriële toepassingen verbeteren. Het bedrijf zet zich in voor het aanpakken van klimaatverandering en het bevorderen van efficiënt gebruik van hulpbronnen.",Groothandel in bouwproducten,64200 - 64200,Waals-Brabant,"Avenue Einstein 6, 1300 Wavre",20 - 50,€10M - €50M,app.bizzy.org/BE/0434284.638?utm_source=export&utm_medium=lists_xlsx
DB Fernverkehr AG,0886.264.254,BE0886.264.254,sandra.middendorf@deutschebahn.com,Geverifieerd,,,www.deutschebahn.com,deutschebahn,"DB Fernverkehr AG is een bedrijf dat zich richt op spoorwegvervoer en infrastructuur, met als doel treindienstregeling en stiptheid te verbeteren door middel van kunstmatige intelligentie.",Spoorwegvervoer,49100,,"Potsdamer Platz 2, 10785 BERLIN",1 - 10,€0 - €1M,app.bizzy.org/BE/0886264.254?utm_source=export&utm_medium=lists_xlsx
Enginium Group,0880.049.326,BE0880.049.326,,,+32 475 89 34 47,Geverifieerd,www.enginiumgroup.com,enginiumgroup,"HR One is een gespecialiseerd wervingsbureau dat zich richt op het aannemen van ingenieurs en hooggeschoolde technici in verschillende sectoren, waaronder productie, civiele bouw, energie en luchtvaart.",Arbeidsbemiddeling - Human resources,70220 - 78100,Vlaams-Brabant,"Mechelsesteenweg 531, 3020 Herent",1 - 10,€0 - €1M,app.bizzy.org/BE/0880049.326?utm_source=export&utm_medium=lists_xlsx
VERELST VASTGOED,0864.983.444,BE0864.983.444,,,+32 15 75 37 35,Geverifieerd,www.verelst.be,verelst,"VERELST VASTGOED is gespecialiseerd in het bouwen, renoveren en in beton- en staalconstructies. Ze richten zich op het leveren van kwaliteitsprojecten die zijn afgestemd op de behoeften van de klant.",Vastgoed,68311 - 68312,Antwerpen,"Klein Boom 15, 2580 Putte",1 - 10,€1M - €2M,app.bizzy.org/BE/0864983.444?utm_source=export&utm_medium=lists_xlsx
EIFFAGE,0835.960.153,BE0835.960.153,,,+33 1 34 65 89 89,Geverifieerd,www.eiffage.com,eiffage,"EIFFAGE is een bedrijf dat deel uitmaakt van de Eiffage Groep, een Europese leider in de bouw en concessies, die actief bijdraagt aan de duurzame ontwikkeling van steden en gebieden.",Bouw van infrastructuur,,Yvelines,"Place de lEurope 3/7, 78140 Vélizy-Villacoublay",1 - 10,€0 - €1M,app.bizzy.org/BE/0835960.153?utm_source=export&utm_medium=lists_xlsx
VTU Engineering Belgium,0783.244.811,BE0783.244.811,birgit.krenn@vtu.com,Geverifieerd,,,www.vtu.com,vtu,"VTU Engineering Belgium is een ingenieurs- en adviesbureau dat gespecialiseerd is in industriële procesinstallaties. Ze bieden diensten aan zoals procesengineering, projectmanagement, GMP-naleving en turn-key oplossingen.",Installatie van industriële machines en gereedschappen,33200 - 70220 - 71121 - 71121 - 82990,Antwerpen,"Blarenberglaan 4, 2800 Mechelen",10 - 20,€1M - €2M,app.bizzy.org/BE/0783244.811?utm_source=export&utm_medium=lists_xlsx
Kreantis,0775.460.461,BE0775.460.461,info@kreantis.be,Geverifieerd,,,www.kreantis.be,kreantis,"Kreantis is een onafhankelijk CAD- en BIM-tekenbureau dat gespecialiseerd is in beton- en wapeningsplannen voor civiele techniek, prefab-elementen en ter plaatse gestort beton. Met een combinatie van jeugdige energie en bewezen ervaring zijn zij klaar om aan alle tekenbehoeften te voldoen.",Computer consultancy,62010 - 62020 - 70220 - 71111 - 71111 - 74909 - 82300,Antwerpen,"Herenthoutseweg 236, 2200 Herentals",1 - 10,€1M - €2M,app.bizzy.org/BE/0775460.461?utm_source=export&utm_medium=lists_xlsx
BELGIAN NUCLEAR LIABILITIES FUND,0760.370.429,BE0760.370.429,xavier.piret@synatom.com,Geverifieerd,,,www.engie.com,engie,"BNLF is gespecialiseerd in oplossingen voor hernieuwbare energie, waaronder wind, zon en waterstof, en richt zich ook op energieprestaties en duurzame mobiliteit. Het bedrijf zet zich in voor het ondersteunen van de energietransitie en de inspanningen voor decarbonisatie.",Energie,,Brussel,"Simon Bolivarlaan 36, 1000 Brussel",1 - 10,€0 - €1M,app.bizzy.org/BE/0760370.429?utm_source=export&utm_medium=lists_xlsx
INGEROP BELGIUM,0733.604.961,BE0733.604.961,,,+33 1 49 04 55 00,Geverifieerd,www.ingerop.com,ingerop,"INGEROP BELGIUM is een toonaangevend onafhankelijk ingenieursbureau dat diverse diensten aanbiedt op het gebied van bouw, projectmanagement en technische expertise in verschillende sectoren, waaronder energie, water en infrastructuur.",Engineering,71121,Henegouwen,"Rue Antoine de Saint-Exupéry 14, 6041 Gosselies",1 - 10,€0 - €1M,app.bizzy.org/BE/0733604.961?utm_source=export&utm_medium=lists_xlsx
SOCOM SA,0644.380.601,BE0644.380.601,,,+352 55 14 15 1,Geverifieerd,www.socom.lu/,socom,"SOCOM SA is een toonaangevende integrator van technologische oplossingen, gespecialiseerd in elektrotechniek, werktuigbouwkunde en industriële leidingbouw. Met meer dan 50 jaar ervaring ontwerpen, installeren en onderhouden zij systemen in de industrie, infrastructuur en tertiaire sector wereldwijd.",Telecommunicatie,43211 - 43211,,"Rue du Commerce 10, 3895 FOETZ",1 - 10,€0 - €1M,app.bizzy.org/BE/0644380.601?utm_source=export&utm_medium=lists_xlsx
NEY & PARTNERS - BXL,0547.939.637,BE0547.939.637,,,+32 476 38 57 87,Geverifieerd,www.ney.partners,ney,"NEY INGENIEURS is gespecialiseerd in het ontwerp en de bouw van bruggen, infrastructuur, gebouwen en speciale constructies, waaronder houten en glazen ontwerpen.",Bouw van infrastructuur - Bouwarchitecten,71121 - 71121,Brussel,"Terhulpsesteenweg 181, 1170 Watermaal-Bosvoorde",20 - 50,€10M - €50M,app.bizzy.org/BE/0547939.637?utm_source=export&utm_medium=lists_xlsx
ARCHITECTEN GROEP III,0524.988.546,BE0524.988.546,,,+32 50 67 33 96,Geverifieerd,www.groep3.be,groep3,"Groep 3 is een bedrijf dat gespecialiseerd is in verschillende projecten, waaronder woningontwikkeling, bottelarij en hub-creatie, met de nadruk op het leveren van innovatieve oplossingen.",Architectuur - Bouw van kantoorgebouwen - Bouwarchitecten - Industrieel ontwerp - Interieurarchitecten - Interieurontwerp - Stadsarchitecten - Woningbouw,71111 - 71111,West-Vlaanderen,"Krakeleweg 39, 8000 Brugge",1 - 10,€1M - €2M,app.bizzy.org/BE/0524988.546?utm_source=export&utm_medium=lists_xlsx
CIRMAD,0453.350.383,BE0453.350.383,,,+33 1 30 60 33 00,Geverifieerd,www.bouygues-construction.com,bouygues-construction,"BOUYGUES BELGIUM HOLDING is een leider in duurzame bouw, die projecten ontwerpt, bouwt en beheert die het dagelijks leven in verschillende sectoren, waaronder huisvesting, gezondheid en onderwijs, verbeteren. Het bedrijf legt de nadruk op milieurepect en streeft ernaar betekenisvolle verbindingen en kansen te creëren door middel van zijn werk.",Bouw - Bouw van infrastructuur - Woningbouw,73200,Brussel,"Avenue de Cortenbergh 52/ 6, 1000 Brussel",1 - 10,€0 - €1M,app.bizzy.org/BE/0453350.383?utm_source=export&utm_medium=lists_xlsx
GROEP 3,0436.512.569,BE0436.512.569,,,+32 50 67 33 96,Geverifieerd,www.groep3.be,groep3,"GROEP 3 is een bedrijf dat gespecialiseerd is in verschillende projecten, waaronder woningontwikkeling, bottelarij en hub-creatie, met de nadruk op het leveren van innovatieve oplossingen.",Architectuur - Bouw van kantoorgebouwen - Bouwarchitecten - Industrieel ontwerp - Interieurarchitecten - Interieurontwerp - Stadsarchitecten - Woningbouw,,West-Vlaanderen,"Sint-Annaplein 3, 8000 Brugge",1 - 10,€0 - €1M,app.bizzy.org/BE/0436512.569?utm_source=export&utm_medium=lists_xlsx
Openbaar Centrum voor Maatschappelijk Welzijn van Heusden-Zolder,0216.772.531,BE0216.772.531,,,+32 89 39 16 04,Geverifieerd,www.heusden-zolder.be,heusden-zolder,"O.C.M.W. biedt een scala aan gemeentelijke diensten, waaronder nieuws, digitale balies en ondersteuning voor inwoners op gebieden zoals huisvesting, onderwijs en betrokkenheid bij de gemeenschap. Ze richten zich ook op transparantie en participatie in het lokale bestuur.",Overheidsdiensten,84115,Limburg,"Sint-Willibrordusplein 4, 3550 Heusden-Zolder",1 - 10,€0 - €1M,app.bizzy.org/BE/0216772.531?utm_source=export&utm_medium=lists_xlsx
MD HEUSDEN,0779.692.631,BE0779.692.631,,,+32 11 80 80 80,Geverifieerd,,,,Horeca,56101 - 56101,Limburg,"Sint-Willibrordusplein 24, 3550 Heusden-Zolder",1 - 10,€0 - €1M,app.bizzy.org/BE/0779692.631?utm_source=export&utm_medium=lists_xlsx
INGEROP CONSEIL INGENIERIE,0728.488.608,BE0728.488.608,,,+33 1 49 04 55 00,Geverifieerd,,,,Engineering,,Hauts-de-Seine,"rue des deux gares 18, 92500 Rueil-Malmaison",1 - 10,€0 - €1M,app.bizzy.org/BE/0728488.608?utm_source=export&utm_medium=lists_xlsx
EIFFAGE CONSTRUCTION GESTION ET DEVELOPPEMENT,0713.646.717,BE0713.646.717,,,+33 1 34 65 89 89,Geverifieerd,,,EIFFAGE CONSTRUCTION GESTION ET DEVELOPPEMENT is betrokken bij de renovatie van de Bordeaux Montaigne-Montesquieu-campus als onderdeel van een breder initiatief om de aantrekkelijkheid van hogeronderwijsfaciliteiten te vergroten. Het project heeft als doel bestaande gebouwen te herkwalificeren en de uitmuntendheid van de campus te bevorderen.,Bouw van infrastructuur - Bouw van kantoorgebouwen - Stadsarchitecten - Woningbouw,,Yvelines,"Place de l'Europe 11, 78140 Vélizy-Villacoublay",1 - 10,€0 - €1M,app.bizzy.org/BE/0713646.717?utm_source=export&utm_medium=lists_xlsx
KUNSTGRASVELDEN CLUSTER 3,0598.894.331,BE0598.894.331,,,+32 56 26 06 66,Geverifieerd,,,,Vervaardiging van kunststoffen,22290,West-Vlaanderen,"Kanaalstraat 1, 8530 Harelbeke",1 - 10,€0 - €1M,app.bizzy.org/BE/0598894.331?utm_source=export&utm_medium=lists_xlsx
Société belge des Combustibles nucléaires Synatom,0406.820.671,BE0406.820.671,,,,,www.engie.com,engie,"Synatom is gespecialiseerd in oplossingen voor hernieuwbare energie, waaronder wind, zon en waterstof, en richt zich ook op energieprestaties en duurzame mobiliteit. Het bedrijf zet zich in voor het ondersteunen van de energietransitie en de inspanningen voor decarbonisatie.",Vervaardiging van metalen of metaalproducten,24460 - 64200,Brussel,"Simon Bolivarlaan 36, 1000 Brussel",20 - 50,€100M - €500M,app.bizzy.org/BE/0406820.671?utm_source=export&utm_medium=lists_xlsx
ENGIE ENERGY MANAGEMENT,0831.958.211,BE0831.958.211,,,,,www.engie.com,engie,"Engie is gespecialiseerd in oplossingen voor hernieuwbare energie, waaronder wind, zon en waterstof, en richt zich ook op energieprestaties en duurzame mobiliteit. Het bedrijf zet zich in voor het ondersteunen van de energietransitie en de inspanningen voor decarbonisatie.",,64200 - 70100,Brussel,"Simon Bolivarlaan 36, 1000 Brussel",1 - 10,€100M - €500M,app.bizzy.org/BE/0831958.211?utm_source=export&utm_medium=lists_xlsx
Veolia Environmental Services Belux,0403.316.397,BE0403.316.397,,,,,www.suez.com,suez,,Afvalverwerking en recycling,38219 - 38219 - 64200,Brussel,"Poincarélaan 78-79, 1060 Saint-Gilles",500 - 1K,€100M - €500M,app.bizzy.org/BE/0403316.397?utm_source=export&utm_medium=lists_xlsx
Laboratoire belge de l'Industrie Electrique,0400.902.582,BE0400.902.582,,,,,www.engie.com,engie,"ENGIE is gespecialiseerd in oplossingen voor hernieuwbare energie, waaronder wind, zon en waterstof, en richt zich ook op energieprestaties en duurzame mobiliteit. Het bedrijf zet zich in voor het ondersteunen van de energietransitie en de inspanningen voor decarbonisatie.",Onderzoek en ontwikkeling,71209 - 72110 - 72190,Vlaams-Brabant,"Rodestraat 125, 1630 Linkebeek",200 - 500,€50M - €100M,app.bizzy.org/BE/0400902.582?utm_source=export&utm_medium=lists_xlsx
ENGIE MANAGEMENT COMPANY BELGIUM,0825.952.921,BE0825.952.921,,,,,www.engie.com,engie,"ENGIE MANAGEMENT COMPANY BELGIUM is gespecialiseerd in oplossingen voor hernieuwbare energie, waaronder wind, zon en waterstof, en richt zich ook op energieprestaties en duurzame mobiliteit. Het bedrijf zet zich in voor het ondersteunen van de energietransitie en de inspanningen voor decarbonisatie.",Consulting voor bedrijven,70100 - 70100 - 70220,Brussel,"Simon Bolivarlaan 36, 1000 Brussel",50 - 100,€10M - €50M,app.bizzy.org/BE/0825952.921?utm_source=export&utm_medium=lists_xlsx
INTERNATIONAL POWER,0403.203.264,BE0403.203.264,,,,,www.engie.com,engie,"ENGIE Group is gespecialiseerd in oplossingen voor hernieuwbare energie, waaronder wind, zon en waterstof, en richt zich ook op energieprestaties en duurzame mobiliteit. Het bedrijf zet zich in voor het ondersteunen van de energietransitie en de inspanningen voor decarbonisatie.",Holdings,64200,Brussel,"Simon Bolivarlaan 36, 1000 Brussel",1 - 10,€10M - €50M,app.bizzy.org/BE/0403203.264?utm_source=export&utm_medium=lists_xlsx
BRUSSELS AIRPORT HOTEL,0428.116.626,BE0428.116.626,,,,,www.hotelbrusselsairport.com,hotelbrusselsairport,,Horeca,55100 - 55100,Vlaams-Brabant,"Luchthaven Brussel Nationaal ZN, 1930 Zaventem",100 - 200,€10M - €50M,app.bizzy.org/BE/0428116.626?utm_source=export&utm_medium=lists_xlsx
WIND4FLANDERS PROJECTS 4,0667.684.850,BE0667.684.850,,,,,www.engie.com,engie,"W4F Projects 4 is gespecialiseerd in oplossingen voor hernieuwbare energie, waaronder wind, zon en waterstof, en richt zich ook op energieprestaties en duurzame mobiliteit. Het bedrijf zet zich in voor het ondersteunen van de energietransitie en de inspanningen voor decarbonisatie.",Elektriciteit - Energie - Productie van elektriciteit,35110 - 35140,Brussel,"Boulevard Simon Bolivar 36, 1000 Brussel",1 - 10,€10M - €50M,app.bizzy.org/BE/0667684.850?utm_source=export&utm_medium=lists_xlsx
Distributienet- Beheer Brussels Airport,0863.269.712,BE0863.269.712,,,,,www.brusselsairport.be,brusselsairport,"DNB BA is een van de grootste luchthavens van Europa en verbindt de Europese hoofdstad met 236 bestemmingen wereldwijd. Met een sterke economische aanwezigheid en meer dan 1000 werknemers speelt het een essentiële rol in de luchtvaartindustrie, waarbij jaarlijks miljoenen passagiers en tonnen vracht worden afgehandeld.",Elektriciteit - Energie,35110,Vlaams-Brabant,"Luchthaven Brussel Nationaal ZN, 1930 Zaventem",1 - 10,€10M - €50M,app.bizzy.org/BE/0863269.712?utm_source=export&utm_medium=lists_xlsx
WIND4FLANDERS PROJECTS 3,0644.840.855,BE0644.840.855,,,,,www.engie.com,engie,"WIND 4 FLANDERS PROJECTS 3 is gespecialiseerd in oplossingen voor hernieuwbare energie, waaronder wind, zon en waterstof, en richt zich ook op energieprestaties en duurzame mobiliteit. Het bedrijf zet zich in voor het ondersteunen van de energietransitie en de inspanningen voor decarbonisatie.",Elektriciteit - Energie - Productie van elektriciteit,35110,Brussel,"Boulevard Simon Bolivar 36, 1000 Brussel",1 - 10,€10M - €50M,app.bizzy.org/BE/0644840.855?utm_source=export&utm_medium=lists_xlsx
GREENSKY,0817.203.422,BE0817.203.422,,,,,www.engie.com,engie,"GREENSKY is gespecialiseerd in oplossingen voor hernieuwbare energie, waaronder wind, zon en waterstof, en richt zich ook op energieprestaties en duurzame mobiliteit. Het bedrijf zet zich in voor het ondersteunen van de energietransitie en de inspanningen voor decarbonisatie.",Elektriciteit - Energie - Productie van elektriciteit,35110 - 35140,Brussel,"Boulevard Simon Bolivar 36, 1000 Brussel",1 - 10,€10M - €50M,app.bizzy.org/BE/0817203.422?utm_source=export&utm_medium=lists_xlsx
LILLO ENERGY,0893.067.914,BE0893.067.914,,,,,www.engie.com,engie,"LILLO ENERGY is gespecialiseerd in oplossingen voor hernieuwbare energie, waaronder wind, zon en waterstof, en richt zich ook op energieprestaties en duurzame mobiliteit. Het bedrijf zet zich in voor het ondersteunen van de energietransitie en de inspanningen voor decarbonisatie.",Elektriciteit - Energie,35140 - 35300 - 43299 - 71121,Brussel,"Boulevard Simon Bolivar 36, 1000 Brussel",1 - 10,€10M - €50M,app.bizzy.org/BE/0893067.914?utm_source=export&utm_medium=lists_xlsx
ELECTRABEL GREEN PROJECTS FLANDERS,0465.399.763,BE0465.399.763,,,,,www.engie.com,engie,"engie is gespecialiseerd in oplossingen voor hernieuwbare energie, waaronder wind, zon en waterstof, en richt zich ook op energieprestaties en duurzame mobiliteit. Het bedrijf zet zich in voor het ondersteunen van de energietransitie en de inspanningen voor decarbonisatie.",Energie - Productie van elektriciteit,35110,Brussel,"Boulevard Simon Bolivar 36, 1000 Brussel",1 - 10,€10M - €50M,app.bizzy.org/BE/0465399.763?utm_source=export&utm_medium=lists_xlsx
WIND4FLANDERS PROJECTS 2,0627.661.264,BE0627.661.264,,,,,www.engie.com,engie,"Electrabel nv is gespecialiseerd in oplossingen voor hernieuwbare energie, waaronder wind, zon en waterstof, en richt zich ook op energieprestaties en duurzame mobiliteit. Het bedrijf zet zich in voor het ondersteunen van de energietransitie en de inspanningen voor decarbonisatie.",Energie - Productie van elektriciteit,35110 - 35130,Brussel,"Boulevard Simon Bolivar 36, 1000 Brussel",1 - 10,€10M - €50M,app.bizzy.org/BE/0627661.264?utm_source=export&utm_medium=lists_xlsx
Wind4Flanders Projects Alfa,0737.828.520,BE0737.828.520,,,,,www.engie.com,engie,"Wind4Flanders Projects 6 is gespecialiseerd in oplossingen voor hernieuwbare energie, waaronder wind, zon en waterstof, en richt zich ook op energieprestaties en duurzame mobiliteit. Het bedrijf zet zich in voor het ondersteunen van de energietransitie en de inspanningen voor decarbonisatie.",Distributie van elektriciteit - Elektriciteit - Energie - Productie van elektriciteit,35110 - 35130 - 35140,Brussel,"Boulevard Simon Bolivar 36, 1000 Brussel",1 - 10,€5M - €10M,app.bizzy.org/BE/0737828.520?utm_source=export&utm_medium=lists_xlsx
WIND4Flanders Projects 1,0553.485.859,BE0553.485.859,,,,,www.engie.com,engie,"WIND4FLANDERS is gespecialiseerd in oplossingen voor hernieuwbare energie, waaronder wind, zon en waterstof, en richt zich ook op energieprestaties en duurzame mobiliteit. Het bedrijf zet zich in voor het ondersteunen van de energietransitie en de inspanningen voor decarbonisatie.",Elektriciteit - Energie - Productie van elektriciteit,35110 - 35140,Brussel,"Boulevard Simon Bolivar 36, 1000 Brussel",1 - 10,€5M - €10M,app.bizzy.org/BE/0553485.859?utm_source=export&utm_medium=lists_xlsx
WIND4WALLONIA,0553.486.057,BE0553.486.057,,,,,www.engie.com,engie,"WIND4WALLONIA is gespecialiseerd in oplossingen voor hernieuwbare energie, waaronder wind, zon en waterstof, en richt zich ook op energieprestaties en duurzame mobiliteit. Het bedrijf zet zich in voor het ondersteunen van de energietransitie en de inspanningen voor decarbonisatie.",Elektriciteit - Energie - Productie van elektriciteit,35110 - 35140,Brussel,"Simon Bolivarlaan 36, 1000 Brussel",1 - 10,€5M - €10M,app.bizzy.org/BE/0553486.057?utm_source=export&utm_medium=lists_xlsx
ENGIE Sun4Business 1,0666.827.686,BE0666.827.686,,,,,www.engie.com,engie,"S4B 1 is gespecialiseerd in oplossingen voor hernieuwbare energie, waaronder wind, zon en waterstof, en richt zich ook op energieprestaties en duurzame mobiliteit. Het bedrijf zet zich in voor het ondersteunen van de energietransitie en de inspanningen voor decarbonisatie.",Energie - Productie van elektriciteit,35110 - 35120 - 35130 - 35140,Brussel,"Simon Bolivarlaan 36, 1000 Brussel",1 - 10,€5M - €10M,app.bizzy.org/BE/0666827.686?utm_source=export&utm_medium=lists_xlsx
WIND4WALLONIA 3,0746.583.858,BE0746.583.858,,,,,www.engie.com,engie,"W4W 3 is gespecialiseerd in oplossingen voor hernieuwbare energie, waaronder wind, zon en waterstof, en richt zich ook op energieprestaties en duurzame mobiliteit. Het bedrijf zet zich in voor het ondersteunen van de energietransitie en de inspanningen voor decarbonisatie.",Distributie van elektriciteit - Elektriciteit - Energie - Productie van elektriciteit,35110 - 35130 - 35140,Henegouwen,"Boulevard Pierre Mayence 1, 6000 Charleroi",1 - 10,€2M - €5M,app.bizzy.org/BE/0746583.858?utm_source=export&utm_medium=lists_xlsx
ENGIE Sun4Business,0666.554.504,BE0666.554.504,,,,,www.engie.com,engie,"S4B is gespecialiseerd in oplossingen voor hernieuwbare energie, waaronder wind, zon en waterstof, en richt zich ook op energieprestaties en duurzame mobiliteit. Het bedrijf zet zich in voor het ondersteunen van de energietransitie en de inspanningen voor decarbonisatie.",Holdings,64200 - 70100 - 82990,Brussel,"Simon Bolivarlaan 36, 1000 Brussel",1 - 10,€2M - €5M,app.bizzy.org/BE/0666554.504?utm_source=export&utm_medium=lists_xlsx
ENGIE Sun4Business 2,0700.949.615,BE0700.949.615,,,,,www.engie.com,engie,"ENGIE Sun4Business 2 is gespecialiseerd in oplossingen voor hernieuwbare energie, waaronder wind, zon en waterstof, en richt zich ook op energieprestaties en duurzame mobiliteit. Het bedrijf zet zich in voor het ondersteunen van de energietransitie en de inspanningen voor decarbonisatie.",Elektriciteit - Energie - Productie van elektriciteit,35110 - 43211,Brussel,"Simon Bolivarlaan 36, 1000 Brussel",1 - 10,€2M - €5M,app.bizzy.org/BE/0700949.615?utm_source=export&utm_medium=lists_xlsx
